policy,time,H_mean,H_std,E_mean,E_std,total_mean,total_std
greedy,72.00,409.100000,21.121080,13.700000,2.626785,422.800000,19.937681
greedy,72.25,408.800000,27.474433,13.800000,2.201010,422.600000,27.023447
greedy,72.50,416.700000,23.475992,13.200000,3.852849,429.900000,23.974292
greedy,72.75,417.500000,26.441760,15.000000,4.642796,432.500000,23.670188
greedy,73.00,413.000000,22.065559,15.200000,3.852849,428.200000,21.306233
greedy,73.25,413.000000,24.106246,14.300000,1.337494,427.300000,23.338333
greedy,73.50,409.500000,21.665385,14.700000,2.406011,424.200000,21.943361
greedy,73.75,406.800000,25.336842,15.100000,4.306326,421.900000,26.218950
greedy,74.00,412.200000,30.886171,14.400000,3.405877,426.600000,29.071559
greedy,74.25,409.400000,36.857684,15.300000,4.691600,424.700000,33.496434
greedy,74.50,414.200000,28.619341,14.100000,3.984693,428.300000,30.510654
greedy,74.75,408.900000,28.819168,14.200000,3.425395,423.100000,27.794684
greedy,75.00,404.800000,31.111984,14.000000,2.708013,418.800000,31.015408
greedy,75.25,408.600000,17.050253,14.200000,2.616189,422.800000,16.877335
greedy,75.50,412.500000,28.230204,16.400000,3.627059,428.900000,29.598986
greedy,75.75,421.800000,14.778363,13.200000,2.780887,435.000000,15.613385
greedy,76.00,422.800000,28.086375,14.300000,4.595892,437.100000,28.819168
greedy,76.25,432.600000,21.588063,12.900000,4.040077,445.500000,22.785229
greedy,76.50,422.900000,21.625345,14.100000,3.754997,437.000000,21.489015
greedy,76.75,419.700000,17.499524,16.700000,3.831159,436.400000,16.167182
greedy,77.00,417.800000,16.012495,14.400000,3.438346,432.200000,15.619077
greedy,77.25,418.200000,18.772320,14.900000,3.348300,433.100000,17.012740
greedy,77.50,416.400000,18.875028,13.600000,3.470511,430.000000,17.575235
greedy,77.75,408.800000,18.581951,14.600000,4.247875,423.400000,17.212399
greedy,78.00,401.700000,22.141213,14.400000,2.366432,416.100000,22.854370
greedy,78.25,400.200000,17.750117,15.800000,3.084009,416.000000,17.159384
greedy,78.50,409.600000,12.920268,14.300000,2.540779,423.900000,12.956766
greedy,78.75,400.600000,21.008993,14.100000,4.794673,414.700000,18.074230
greedy,79.00,399.400000,23.205363,14.900000,4.701064,414.300000,22.871865
greedy,79.25,396.500000,23.604378,14.000000,2.538591,410.500000,22.202352
greedy,79.50,414.200000,21.785826,14.900000,3.573047,429.100000,22.668872
greedy,79.75,412.200000,20.660214,14.900000,4.228212,427.100000,20.300246
greedy,80.00,415.100000,27.057347,15.000000,2.867442,430.100000,26.701852
patient,0.00,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
patient,0.25,218.300000,11.614646,191.000000,15.099669,409.300000,13.106826
patient,0.50,382.700000,12.111060,285.700000,19.675422,668.400000,25.434884
patient,0.75,506.100000,12.105554,317.600000,20.386270,823.700000,26.153606
